,Unnamed: 0,WEEK_END_DATE,STORE_NUM,UPC,UNITS,VISITS,HHS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,TPR_ONLY,DESCRIPTION,MANUFACTURER,CATEGORY,SUB_CATEGORY,PRODUCT_SIZE,STORE_ID,STORE_NAME,ADDRESS_CITY_NAME,ADDRESS_STATE_PROV_CODE,MSA_CODE,SEG_VALUE_NAME,PARKING_SPACE_QTY,SALES_AREA_SIZE_NUM,AVG_WEEKLY_BASKETS
12,12,2009-01-14,367,1600027527,12,10,10,38.28,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,367,15TH & MADISON,COVINGTON,KY,17140,VALUE,196.0,24721,12706.532051
48,48,2009-01-14,387,1600027527,74,65,65,226.44,3.06,3.06,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,387,TOWN & COUNTRY,KETTERING,OH,19380,UPSCALE,270.0,44547,22867.326923
95,95,2009-01-14,389,1600027527,52,51,51,156.51999999999998,3.01,3.01,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,389,SILVERLAKE,ERLANGER,KY,17140,MAINSTREAM,408.0,46073,24766.807692
139,139,2009-01-14,613,1600027527,47,44,44,149.93,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,613,EAST ALLEN,ALLEN,TX,19100,MAINSTREAM,464.0,64926,29386.416667
181,181,2009-01-14,623,1600027527,57,55,54,181.83,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,623,HOUSTON,HOUSTON,TX,26420,MAINSTREAM,,46930,36740.692308
221,221,2009-01-14,2277,1600027527,125,114,112,360.0,2.88,2.88,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2277,ANDERSON TOWNE CTR,CINCINNATI,OH,17140,UPSCALE,,81958,54052.519231
269,269,2009-01-14,2279,1600027527,36,35,34,105.12,2.92,2.92,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2279,MILFORD-MULBERRY,MILFORD,OH,17140,MAINSTREAM,771.0,44175,23037.442308
313,313,2009-01-14,2281,1600027527,53,51,51,153.17000000000002,2.89,2.89,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2281,BLUE ASH,BLUE ASH,OH,17140,UPSCALE,,68500,32297.288462
361,361,2009-01-14,2495,1600027527,37,36,36,118.03,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2495,PLANTATION PLAZA,CLUTE,TX,26420,MAINSTREAM,407.0,48462,25507.448718
397,397,2009-01-14,2505,1600027527,22,22,22,67.1,3.05,3.05,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2505,DICKINSON VILLAGE,DICKINSON,TX,26420,MAINSTREAM,319.0,41644,14460.108974
435,435,2009-01-14,2513,1600027527,122,119,115,389.18,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2513,HOUSTON,HOUSTON,TX,26420,UPSCALE,,61833,32422.99359
474,474,2009-01-14,2523,1600027527,30,29,28,92.4,3.08,3.08,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2523,LANDMARK PLACE S/C,GRAND PRAIRIE,TX,19100,VALUE,252.0,34373,14201.326923
508,508,2009-01-14,2541,1600027527,14,12,12,44.66,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,2541,NORWOOD,ARLINGTON,TX,19100,MAINSTREAM,300.0,29231,11019.352564
545,545,2009-01-14,4245,1600027527,40,38,38,124.4,3.11,3.11,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,4245,LAWRENCEBURG,LAWRENCEBURG,IN,17140,MAINSTREAM,,58563,19274.673077
593,593,2009-01-14,4259,1600027527,20,20,20,60.8,3.04,3.04,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,4259,WARSAW AVENUE,CINCINNATI,OH,17140,VALUE,,48813,31177.333333
631,631,2009-01-14,4489,1600027527,56,56,55,172.48000000000002,3.08,3.08,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,4489,SWEETWATER PLAZA,SUGAR LAND,TX,26420,UPSCALE,,49030,21344.794872
671,671,2009-01-14,4503,1600027527,69,66,63,217.35,3.15,3.15,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,4503,ROCKWALL,ROCKWALL,TX,19100,UPSCALE,,56230,25289.326923
713,713,2009-01-14,4521,1600027527,16,16,12,51.04,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,4521,PARKWAY SQUARE S/C,COLLEGE STATION,TX,17780,MAINSTREAM,418.0,34628,25632.807692
750,750,2009-01-14,6179,1600027527,65,62,62,185.25,2.85,2.85,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,6179,DEERFIELD TWP,MASON,OH,17140,UPSCALE,,54448,35287.974359
795,795,2009-01-14,6187,1600027527,32,30,29,92.8,2.9,2.9,0,0,0,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,6187,ST. MARYS,SAINT MARYS,OH,47540,MAINSTREAM,,55474,20015.320513
