,STORE_ID,STORE_NAME,ADDRESS_CITY_NAME,ADDRESS_STATE_PROV_CODE,MSA_CODE,SEG_VALUE_NAME,PARKING_SPACE_QTY,SALES_AREA_SIZE_NUM,AVG_WEEKLY_BASKETS
0,389,SILVERLAKE,ERLANGER,KY,17140,MAINSTREAM,408.0,46073,24766.807692
1,2277,ANDERSON TOWNE CTR,CINCINNATI,OH,17140,UPSCALE,,81958,54052.519231
2,4259,WARSAW AVENUE,CINCINNATI,OH,17140,VALUE,,48813,31177.333333
3,6379,KINGWOOD,KINGWOOD,TX,26420,MAINSTREAM,,50237,20620.423077
4,6431,AT WARD ROAD,BAYTOWN,TX,26420,VALUE,350.0,43698,24321.942308
5,13853,RICHARDSON,RICHARDSON,TX,19100,MAINSTREAM,,53586,15787.391026
6,13859,MCKINNEY,MCKINNEY,TX,19100,MAINSTREAM,,47824,15345.237179
7,15755,KROGER JUNCTION S/C,PASADENA,TX,26420,VALUE,351.0,34373,18291.429487
8,23327,HOUSTON,HOUSTON,TX,26420,MAINSTREAM,,50722,30258.173077
9,23345,FRISCO,FRISCO,TX,19100,UPSCALE,,46369,21946.846154
10,25001,PINEWOOD,DAYTON,OH,19380,VALUE,351.0,34177,18034.967949
11,26983,DAYTON,DAYTON,OH,19380,VALUE,,48782,31461.224359
12,623,HOUSTON,HOUSTON,TX,26420,MAINSTREAM,,46930,36740.692308
13,2541,NORWOOD,ARLINGTON,TX,19100,MAINSTREAM,300.0,29231,11019.352564
14,4489,SWEETWATER PLAZA,SUGAR LAND,TX,26420,UPSCALE,,49030,21344.794872
15,10019,AT EASTEX FRWY,HOUSTON,TX,26420,VALUE,221.0,35675,19067.673077
16,13609,VANDALIA,VANDALIA,OH,19380,MAINSTREAM,,55663,21232.115385
17,15531,GOSHEN,GOSHEN,OH,17140,VALUE,,33667,13344.0
18,17599,KEARNEY,MESQUITE,TX,19100,VALUE,300.0,36994,15134.025641
19,19265,LATONIA,COVINGTON,KY,17140,MAINSTREAM,,55685,31578.134615
20,21485,HOUSTON,KATY,TX,26420,MAINSTREAM,,46369,26472.237179
21,26981,SPRINGFIELD,SPRINGFIELD,OH,44220,MAINSTREAM,,42081,25122.442308
22,2513,HOUSTON,HOUSTON,TX,26420,UPSCALE,,61833,32422.99359
